AMW,num_rings,fraction_CSP3,num_hba,num_hbd,num_het_atoms,logP,TPSA,solubility
40.065,0,0.333333333,0,0,0,0.6395,0,-0.41
41.053,0,0.5,1,0,1,0.52988,23.79,0.26
42.081,0,0.333333333,0,0,0,1.1923,0,-1.08
44.097,0,1,0,0,0,1.4163,0,-1.94
46.069,0,1,1,1,1,-0.0014,20.23,1.1
46.073,0,1,2,2,2,-0.9205,38.05,1.34
53.064,0,0,1,0,1,0.69598,23.79,0.15
54.092,0,0,0,0,0,1.3584,0,-1.87
54.092,0,0.5,0,0,0,1.0296,0,-1.24
55.08,0,0.666666667,1,0,1,0.91998,23.79,0.28
56.064,0,0,1,0,1,0.3713,17.07,0.57
56.108,0,0.5,0,0,0,1.5824,0,-1.94
56.108,0,0.5,0,0,0,1.5824,0,-2.33
58.08,1,1,1,0,1,0.4051,12.53,-0.59
58.08,0,0.666666667,1,0,1,0.5953,17.07,0.58
58.124,0,1,0,0,0,1.6623,0,-2.55
58.124,0,1,0,0,0,1.8064,0,-2.57
59.068,0,0.5,1,1,2,-0.5084,43.09,1.58
60.052,0,0.5,2,0,2,-0.2108,26.3,0.58
60.056,0,0,1,2,3,-0.9762,69.11,0.96
60.096,0,1,1,1,1,0.3887,20.23,0.62
60.096,0,1,1,1,1,0.3871,20.23,0.43
61.04,0,1,2,0,3,-0.1071,43.14,0.26
62.137,0,1,1,0,1,0.9792,0,-0.45
62.137,0,1,1,1,1,0.9361,0,-0.6
62.499,0,0,0,0,1,1.3687,0,-1.75
64.515,0,1,0,0,1,1.2451,0,-1.06
68.075,1,0,1,0,1,1.2796,13.14,-0.82
68.119,0,0.6,0,0,0,1.4197,0,-1.64
68.119,0,0.2,0,0,0,1.7485,0,-2.09
68.119,0,0.2,0,0,0,1.7485,0,-2.03
68.119,1,0.6,0,0,0,1.7265,0,-2.1
70.091,0,0.25,1,0,1,0.7614,17.07,0.32
70.091,0,0.25,1,0,1,0.7614,17.07,0.32
70.135,0,0.6,0,0,0,1.9725,0,-2.73
70.135,0,0.6,0,0,0,1.9725,0,-2.56
70.135,0,0.6,0,0,0,1.9725,0,-2.68
70.135,0,0.6,0,0,0,1.9725,0,-2.54
70.135,1,1,0,0,0,1.9505,0,-2.64
70.135,0,0.6,0,0,0,1.8284,0,-2.73
70.135,0,0.6,0,0,0,1.9725,0,-2.54
72.107,0,0.75,1,0,1,0.9854,17.07,0.52
72.107,1,1,1,0,1,0.7968,9.23,0.49
72.107,0,0.75,1,0,1,0.9854,17.07,-0.01
72.107,0,0.5,1,0,1,1.1664,9.23,-0.85
72.151,0,1,0,0,0,2.1965,0,-3.18
72.151,0,1,0,0,0,2.0524,0,-3.18
74.079,0,0.666666667,2,0,2,0.1793,26.3,0.46
74.079,0,0.666666667,2,0,2,0.1793,26.3,0.15
74.123,0,1,1,1,1,0.7788,20.23,0
74.123,0,1,1,0,1,1.0428,9.23,-0.39
74.123,0,1,1,1,1,0.7772,20.23,0.47
74.123,0,1,1,1,1,0.6347,20.23,0.1
74.123,0,1,1,0,1,1.0428,9.23,-0.09
75.067,0,1,2,0,3,0.283,43.14,-0.22
75.498,0,0.5,1,0,2,0.74878,23.79,-0.092
76.095,0,1,2,0,2,0.2367,18.46,0.48
76.124,0,0,1,2,3,-0.8113,52.04,0.32
78.114,1,0,0,0,0,1.6866,0,-1.64
78.542,0,1,0,0,1,1.6336,0,-1.41
78.542,0,1,0,0,1,1.6352,0,-1.47
79.102,1,0,1,0,1,1.0816,12.89,0.76
80.09,1,0,2,0,2,0.4766,25.78,1.1
80.09,1,0,2,0,2,0.4766,25.78,1.1
80.13,1,0.333333333,0,0,0,1.8926,0,-2.06
82.146,0,0.666666667,0,0,0,1.8098,0,-2.36
82.146,0,0.666666667,0,0,0,1.8098,0,-1.99
82.146,0,0.333333333,0,0,0,2.1386,0,-2.68
82.146,1,0.666666667,0,0,0,2.1166,0,-2.59
82.146,0,0.333333333,0,0,0,2.1386,0,-2.4
84.082,1,0,3,2,4,-0.6131,67.59,0.522
84.082,0,0,2,2,4,-1.25912,88.19,-0.31
84.143,1,0,1,0,1,1.7481,0,-1.33
84.162,0,0.666666667,0,0,0,2.3626,0,-3.03
84.162,0,0.666666667,0,0,0,2.3626,0,-3.23
84.162,1,1,0,0,0,2.3406,0,-3.1
84.162,1,1,0,0,0,2.1965,0,-3.3
84.933,0,1,0,0,2,1.4215,0,-0.63
85.106,1,0.75,1,1,2,-0.1036,29.1,1.07
86.09,0,0.25,2,0,2,0.3454,26.3,-0.22
86.134,0,0.8,1,0,1,1.3755,17.07,-0.85
86.134,0,0.8,1,0,1,1.3755,17.07,-0.19
86.134,0,0.8,1,0,1,1.2314,17.07,-0.12
86.134,0,0.6,1,1,1,0.9449,20.23,-0.15
86.134,1,1,1,0,1,1.1853,9.23,0.11
86.134,1,1,1,0,1,1.1869,9.23,-0.03
86.134,0,0.8,1,0,1,1.3755,17.07,-0.28
86.178,0,1,0,0,0,2.4425,0,-3.55
86.178,0,1,0,0,0,2.4425,0,-3.68
86.178,0,1,0,0,0,2.4425,0,-3.74
86.178,0,1,0,0,0,2.2984,0,-3.65
86.178,0,1,0,0,0,2.5866,0,-3.84
87.122,0,0.75,1,0,2,0.0945,20.31,1.11
88.106,0,0.75,2,0,2,0.5694,26.3,-0.49
88.106,0,0.75,2,0,2,0.5678,26.3,-0.63
88.106,0,0.75,2,0,2,0.5694,26.3,-0.04
88.106,0,0.75,2,0,2,0.5694,26.3,-0.14
88.15,0,1,1,1,1,1.1673,20.23,0.15
88.15,0,1,1,1,1,1.0248,20.23,-0.47
88.15,0,1,1,0,1,1.4313,9.23,-0.24
88.15,0,1,1,0,1,1.4329,9.23,-0.66
88.15,0,1,1,1,1,1.1689,20.23,-0.6
88.15,0,1,1,1,1,1.0232,20.23,-0.18
88.15,0,1,1,1,1,1.0248,20.23,-0.51
88.15,0,1,1,1,1,1.1673,20.23,-0.29
88.15,0,1,1,0,1,1.4329,9.23,-0.99
88.15,0,1,1,1,1,1.0248,20.23,-0.4
88.15,0,1,1,1,1,1.1673,20.23,-0.24
89.094,0,1,2,0,3,0.6731,43.14,-0.8
89.094,0,1,2,0,3,0.6715,43.14,-0.62
89.094,0,0.666666667,2,1,3,0.1016,52.32,0.85
89.525,0,0.666666667,1,0,2,1.13888,23.79,-0.29
90.191,0,1,1,1,1,1.7163,0,-2.18
90.191,0,1,1,0,1,1.7594,0,-1.34
92.094,0,1,3,3,3,-1.6681,60.69,1.12
92.141,1,0.142857143,0,0,0,1.99502,0,-2.21
92.569,0,1,0,0,1,2.0253,0,-2.03
92.569,0,1,0,0,1,2.0237,0,-1.96
92.569,0,1,0,0,1,1.8812,0,-2
93.129,1,0,1,1,1,1.2688,26.02,-0.41
93.513,0,0.5,1,1,3,-0.2895,43.09,-0.02
94.113,1,0,1,1,1,1.3922,20.23,0
94.204,0,1,2,0,2,1.6274,0,-1.44
95.101,1,0,2,1,2,0.7872,33.12,1.02
95.101,1,0,2,1,2,0.7872,33.12,1.02
96.085,1,0,2,0,2,1.0921,30.21,-0.1
96.104,1,0,0,0,1,1.8257,0,-1.8
96.173,0,0.714285714,0,0,0,2.1999,0,-3.01
96.173,1,0.714285714,0,0,0,2.5067,0,-3.18
96.173,1,0.714285714,0,0,0,2.5067,0,-3.27
96.944,0,0,0,0,2,1.9352,0,-1.64
96.944,0,0,0,0,2,1.9352,0,-1.3
98.145,1,0.833333333,1,0,1,1.5196,17.07,-0.6
98.189,0,0.714285714,0,0,0,2.7527,0,-3.82
98.189,0,0.714285714,0,0,0,2.7527,0,-3.73
98.189,1,1,0,0,0,2.7307,0,-3.51
98.189,1,1,0,0,0,2.5866,0,-3.85
98.96,0,1,0,0,2,1.81,0,-1.29
98.96,0,1,0,0,2,1.464,0,-1.06
99.089,1,0.5,2,1,3,-0.577,46.17,0.3
100.077,1,0.333333333,2,2,4,-1.1742,58.2,-0.4
100.146,1,0,3,1,3,0.7253,38.91,-0.36
100.161,0,0.833333333,1,0,1,1.7656,17.07,-1.3
100.161,0,0.833333333,1,0,1,1.6215,17.07,-0.72
100.161,0,0.833333333,1,0,1,1.6215,17.07,-0.74
100.161,0,0.833333333,1,0,1,1.7656,17.07,-0.83
100.161,0,0.833333333,1,0,1,1.6215,17.07,-1.52
100.161,0,0.666666667,1,1,1,1.3334,20.23,-0.59
100.161,0,0.833333333,1,0,1,1.6215,17.07,-0.67
100.161,0,0.833333333,1,0,1,1.7656,17.07,-0.8
100.161,1,1,1,1,1,1.3114,20.23,-0.44
100.205,0,1,0,0,0,2.8326,0,-4.36
100.205,0,1,0,0,0,2.6885,0,-4.26
100.205,0,1,0,0,0,2.6885,0,-4.28
100.205,0,1,0,0,0,2.8326,0,-4.23
100.205,0,1,0,0,0,2.6885,0,-4.36
100.205,0,1,0,0,0,2.9767,0,-4.53
102.133,0,0.8,2,0,2,0.9595,26.3,-0.72
102.133,0,0.8,2,0,2,0.9595,26.3,-1.92
102.133,0,0.8,2,0,2,0.9595,26.3,-1.37
102.133,0,0.8,2,0,2,0.8154,26.3,-1.01
102.133,0,0.8,2,0,2,0.9579,26.3,-0.55
102.133,0,0.8,2,0,2,0.9595,26.3,-0.66
102.177,0,1,1,0,1,1.8214,9.23,-1.34
102.177,0,1,1,1,1,1.4149,20.23,-1.04
102.177,0,1,1,1,1,1.5574,20.23,-0.36
102.177,0,1,1,1,1,1.5574,20.23,-0.89
102.177,0,1,1,1,1,1.5574,20.23,-0.49
102.177,0,1,1,1,1,1.4133,20.23,-0.8
102.177,0,1,1,1,1,1.559,20.23,-1.24
102.177,0,1,1,0,1,1.8198,9.23,-1.1
102.177,0,1,1,1,1,1.5574,20.23,-0.8
102.177,0,1,1,1,1,1.4149,20.23,-0.71
102.177,0,1,1,1,1,1.4133,20.23,-0.62
102.177,0,1,1,1,1,1.4149,20.23,-0.5
102.177,0,1,1,1,1,1.4133,20.23,-0.7
102.177,0,1,1,0,1,1.823,9.23,-1.62
102.177,0,1,1,1,1,1.4149,20.23,-1.11
102.177,0,1,1,1,1,1.4149,20.23,-1.14
102.177,0,1,1,1,1,1.4149,20.23,-1.17
103.124,1,0,1,0,1,1.55828,23.79,-1
104.152,1,0,0,0,0,2.3296,0,-2.82
106.124,1,0,1,0,1,1.4991,17.07,-1.19
106.168,1,0.25,0,0,0,2.249,0,-2.77
106.168,1,0.25,0,0,0,2.30344,0,-2.77
106.168,1,0.25,0,0,0,2.30344,0,-2.82
106.168,1,0.25,0,0,0,2.30344,0,-2.8
106.596,0,1,0,0,1,2.4138,0,-2.51
106.596,0,1,0,0,1,2.4154,0,-2.73
107.156,1,0.285714286,1,0,1,1.644,12.89,0.51
107.156,1,0.142857143,1,1,1,1.7283,12.03,-1.28
107.156,1,0.285714286,1,0,1,1.69844,12.89,0.38
107.156,1,0.285714286,1,0,1,1.69844,12.89,0.36
107.156,1,0.285714286,1,0,1,1.69844,12.89,0.38
107.156,1,0.285714286,1,0,1,1.69844,12.89,0.45
107.156,1,0.285714286,1,0,1,1.69844,12.89,0.38
107.156,1,0.142857143,1,1,1,1.57722,26.02,-0.85
107.156,1,0.142857143,1,1,1,1.57722,26.02,-1.21
107.156,1,0.142857143,1,1,1,1.57722,26.02,-2.21
108.14,1,0.142857143,1,1,1,1.1789,20.23,-0.4
108.14,1,0.142857143,1,0,1,1.6952,9.23,-1.85
108.14,1,0.142857143,1,1,1,1.70062,20.23,-0.62
108.14,1,0.142857143,1,1,1,1.70062,20.23,-0.68
108.14,1,0.142857143,1,1,1,1.70062,20.23,-0.73
108.144,1,0,2,2,2,0.9722,38.05,0.07
108.966,0,1,0,0,1,1.4012,0,-1.09
109.128,1,0,2,2,2,0.9744,46.25,-0.8
109.128,1,0,2,2,2,0.9744,46.25,-0.72
110.112,1,0,2,2,2,1.0978,40.46,0.81
110.112,1,0,2,2,2,1.0978,40.46,0.62
110.112,1,0,2,2,2,1.0978,40.46,-0.17
110.181,1,0,1,1,1,1.9753,0,-2.12
110.2,0,0.75,0,0,0,2.59,0,-3.66
111.104,1,0,3,2,4,-0.6479,71.77,-1.155
112.088,1,0,2,2,4,-0.9368,65.72,-1.488
112.216,1,1,0,0,0,2.8326,0,-4.47
112.216,0,0.75,0,0,0,3.1428,0,-4.44
112.216,1,1,0,0,0,2.8326,0,-4.3
112.216,1,1,0,0,0,2.9767,0,-4.74
112.216,1,1,0,0,0,3.1208,0,-4.15
112.216,1,1,0,0,0,2.9767,0,-4.25
112.559,1,0,0,0,1,2.34,0,-2.38
112.987,0,1,0,0,2,1.8541,0,-1.62
112.987,0,1,0,0,2,1.8525,0,-1.6
114.06,1,0,3,2,5,-1.6476,75.27,-0.4
114.094,1,0,0,0,2,1.9648,0,-2
114.094,1,0,0,0,2,1.9648,0,-1.97
114.188,0,0.857142857,1,0,1,1.8675,17.07,-1.3
114.188,0,0.857142857,1,0,1,2.1557,17.07,-1.3
114.188,0,0.857142857,1,0,1,2.1557,17.07,-1.45
114.188,1,1,1,1,1,1.7015,20.23,-0.88
114.232,0,1,0,0,0,2.9345,0,-4.8
114.232,0,1,0,0,0,3.0786,0,-4.74
114.232,0,1,0,0,0,3.2227,0,-5.08
114.232,0,1,0,0,0,3.2227,0,-5.16
114.232,0,1,0,0,0,3.3668,0,-5.24
116.16,0,0.833333333,2,0,2,1.3496,26.3,-0.82
116.16,0,0.833333333,2,0,2,1.3496,26.3,-1.36
116.16,0,0.833333333,2,0,2,1.3496,26.3,-1.34
116.16,0,0.833333333,2,0,2,1.2055,26.3,-1.52
116.16,0,0.833333333,2,0,2,1.2055,26.3,-1.21
116.164,0,0.8,1,0,3,0.2296,23.55,0.94
116.204,0,1,1,1,1,1.9475,20.23,-1.55
116.204,0,1,1,1,1,1.6593,20.23,-1.22
116.204,0,1,1,1,1,1.805,20.23,-1.52
116.204,0,1,1,1,1,1.9475,20.23,-0.98
116.204,0,1,1,1,1,1.8034,20.23,-0.92
116.204,0,1,1,1,1,1.9475,20.23,-1.08
116.204,0,1,1,1,1,1.9475,20.23,-1.47
116.204,0,1,1,1,1,1.9491,20.23,-1.81
116.204,0,1,1,1,1,1.9475,20.23,-0.85
116.204,0,1,1,1,1,1.9475,20.23,-1.4
117.151,2,0,0,1,1,2.1679,15.79,-1.52
118.139,2,0,1,1,2,1.5629,28.68,-2.16
118.176,0,1,2,1,2,0.7954,29.46,-0.42
118.176,0,1,2,0,2,1.0594,18.46,-0.77
118.176,0,1,2,0,2,1.4054,18.46,-0.43
118.179,2,0.333333333,0,0,0,2.1753,0,-3.04
118.245,0,1,1,0,1,2.5364,0,-2.24
118.245,0,1,1,0,1,2.5396,0,-2.58
119.123,2,0,2,0,2,1.8278,26.03,-1.16
119.127,2,0,2,1,3,0.9579,41.57,-0.78
119.167,2,0.25,1,1,1,1.6546,12.03,-1.04
119.378,0,1,0,0,3,1.9864,0,-1.17
120.151,2,0.25,1,0,1,1.7579,12.53,-1.6
120.151,1,0.125,1,0,1,1.8892,17.07,-1.28
120.195,1,0.333333333,0,0,0,2.81,0,-3.27
120.195,1,0.333333333,0,0,0,2.6391,0,-3.37
120.195,1,0.333333333,0,0,0,2.55742,0,-3.21
120.195,1,0.333333333,0,0,0,2.55742,0,-3.11
120.195,1,0.333333333,0,0,0,2.61186,0,-3.4
120.195,1,0.333333333,0,0,0,2.61186,0,-3.2
120.195,1,0.333333333,0,0,0,2.61186,0,-3.31
120.623,0,1,0,0,1,2.8055,0,-3.12
121.139,1,0,1,1,2,0.7855,43.09,-0.96
121.183,1,0.25,1,1,1,2.1184,12.03,-1.7
121.183,1,0.25,1,0,1,1.7526,3.24,-1.92
122.12,0,1,4,4,4,-2.3072,80.92,0.7
122.123,1,0,2,1,2,1.2047,37.3,-0.96
122.127,1,0,2,1,3,0.1805,55.98,0.61
122.167,1,0.25,1,0,1,2.0853,9.23,-2.33
122.167,1,0.25,1,1,1,1.7399,20.23,-0.92
122.167,1,0.25,1,1,1,2.00904,20.23,-1.4
122.167,1,0.25,1,1,1,2.00904,20.23,-1.29
122.167,1,0.25,1,1,1,2.00904,20.23,-1.19
122.167,1,0.25,1,1,1,2.00904,20.23,-1.38
122.258,0,1,2,0,2,2.4076,0,-2.42
122.993,0,1,0,0,1,1.7913,0,-1.73
122.993,0,1,0,0,1,1.7897,0,-1.59
123.111,1,0,2,0,3,1.5948,43.14,-1.8
123.115,1,0,3,1,4,-0.4245,68.87,-0.667
124.139,1,0.142857143,2,1,2,1.4008,29.46,-1.96
124.139,1,0.142857143,2,1,2,1.4008,29.46,-1.96
124.208,1,0.142857143,1,0,1,2.4085,0,-2.39
124.227,0,0.777777778,0,0,0,2.9801,0,-4.24
125.131,1,0.2,3,2,4,-0.33948,71.77,-1.458
126.115,1,0.2,2,2,4,-0.62838,65.72,-1.506
126.115,1,0.2,3,1,4,-0.9264,54.86,-0.807
126.199,0,0.625,1,0,1,2.3218,17.07,-2.46
126.243,0,0.777777778,0,0,0,3.5329,0,-5.05
126.586,1,0.142857143,0,0,1,2.4254,0,-2.39
126.586,1,0.142857143,0,0,1,2.64842,0,-3.08
126.586,1,0.142857143,0,0,1,2.64842,0,-3.52
127.574,1,0,1,1,2,1.9222,26.02,-1.37
127.574,1,0,1,1,2,1.9222,26.02,-1.52
127.574,1,0,1,1,2,1.9222,26.02,-1.66
128.134,1,0,2,0,2,1.42996,47.58,-2.38
128.156,1,0,3,2,4,0.0586,45.75,-2.273
128.174,2,0,0,0,0,2.8398,0,-3.6
128.215,0,0.875,1,0,1,2.4017,17.07,-2.13
128.215,0,0.875,1,0,1,2.5458,17.07,-2.05
128.215,1,1,1,1,1,2.0916,20.23,-1.29
128.259,0,1,0,0,0,3.4687,0,-5.05
128.259,0,1,0,0,0,3.7569,0,-5.88
128.558,1,0,1,1,2,2.0456,20.23,-0.7
128.558,1,0,1,1,2,2.0456,20.23,-1.06
128.558,1,0,1,1,2,2.0456,20.23,-0.7
129.094,1,0,3,2,5,-0.5088,71.77,-0.972
129.162,2,0,1,0,1,2.2348,12.89,-1.45
129.162,2,0,1,0,1,2.2348,12.89,-1.3
129.384,0,1,0,0,2,1.5776,0,-0.89
130.078,1,0,2,2,5,-0.7977,65.72,-1.077
130.187,0,0.857142857,2,0,2,1.7397,26.3,-2.25
130.187,0,0.857142857,2,0,2,1.5956,26.3,-1.92
130.187,0,0.857142857,2,0,2,1.7397,26.3,-1.75
130.187,0,0.857142857,2,0,2,1.7397,26.3,-1.87
130.187,0,0.857142857,2,0,2,1.7397,26.3,-1.89
130.231,0,1,1,1,1,2.3376,20.23,-1.6
130.231,0,1,1,1,1,2.3376,20.23,-1.98
130.231,0,1,1,0,1,2.6032,9.23,-1.85
130.231,0,1,1,1,1,2.3376,20.23,-1.72
130.231,0,1,1,1,1,2.1951,20.23,-2.11
130.231,0,1,1,1,1,2.3376,20.23,-2.09
130.231,0,1,1,1,1,2.3392,20.23,-2.39
131.178,2,0.111111111,0,1,1,2.47632,15.79,-2.42
131.389,0,0,0,0,3,2.5017,0,-1.96
132.126,2,0,4,0,4,0.4198,51.56,0.02
132.206,2,0.4,0,0,0,2.5654,0,-4.37
132.232,0,0.8,1,2,3,0.4903,24.06,-1.46
133.197,1,0.333333333,3,1,4,0.1343,29.1,-1.77
133.405,0,1,0,0,3,2.0289,0,-1.48
133.405,0,1,0,0,3,2.3765,0,-2
134.222,1,0.4,0,0,0,3.11842,0,-3.76
134.222,1,0.4,0,0,0,2.8114,0,-3.75
134.222,1,0.4,0,0,0,2.8114,0,-3.28
134.222,1,0.4,0,0,0,2.9841,0,-3.66
134.222,1,0.4,0,0,0,3.11842,0,-3.77
134.222,1,0.4,0,0,0,2.8851,0,-4.12
134.222,1,0.4,0,0,0,2.92028,0,-4.59
134.222,1,0.4,0,0,0,3.0292,0,-4.06
134.65,0,1,0,0,1,3.1956,0,-4
135.13,2,0,4,2,5,-0.0649,80.48,-2.12
135.166,1,0.125,1,1,2,1.645,29.1,-1.33
135.191,2,0,2,0,2,2.2963,12.89,-1.5
136.114,2,0,3,2,5,-0.3538,74.43,-2.296
136.114,2,0,3,2,5,-0.3538,74.43,-2.266
136.15,1,0.125,2,0,2,1.4732,26.3,-1.85
136.15,1,0.125,2,0,2,1.5077,26.3,-1.49
136.194,1,0.333333333,1,1,1,2.31746,20.23,-2.05
136.238,1,0.6,0,0,0,3.3089,0,-4.26
137.02,0,1,0,0,1,2.1814,0,-2.37
137.02,0,1,0,0,1,2.0373,0,-2.43
137.138,1,0,2,2,3,0.4911,63.32,-1.82
137.138,1,0.142857143,2,0,3,1.90322,43.14,-2.33
137.138,1,0.142857143,3,0,3,0.8682,39.19,-0.46
137.138,1,0.142857143,2,0,3,1.90322,43.14,-2.49
137.138,1,0.142857143,2,0,3,1.90322,43.14,-2.44
137.142,1,0,3,2,4,-0.3149,68.01,0.009
138.126,1,0,3,1,4,1.177,69.16,-1.96
138.126,1,0,3,1,4,1.177,69.16,-2.37
138.126,1,0,3,1,4,1.177,69.16,-2.19
138.166,1,0.25,2,1,2,1.0577,29.46,-0.7
138.21,1,0.666666667,1,0,1,2.3218,17.07,-1.06
138.254,2,1,0,0,0,3.3668,0,-5.19
139.11,1,0,3,1,4,1.3004,63.37,-1.74
139.11,1,0,3,1,4,1.3004,63.37,-1.01
139.11,1,0,3,1,4,1.3004,63.37,-0.74
140.27,0,0.8,0,0,0,3.923,0,-5.51
140.27,1,1,0,0,0,3.7569,0,-6.08
142.07,1,0,4,2,6,-2.0785,92.34,-1.25
142.183,1,0.2,2,2,4,0.74091,48.65,-2.436
142.201,2,0.090909091,0,0,0,3.14822,0,-3.77
142.201,2,0.090909091,0,0,0,3.14822,0,-3.7
142.242,0,0.888888889,1,0,1,2.9359,17.07,-2.58
142.242,0,0.888888889,1,0,1,2.9359,17.07,-2.58
142.585,1,0.142857143,1,0,2,2.3486,9.23,-2.78
142.585,1,0.142857143,1,0,2,2.3486,9.23,-2.46
142.585,1,0.142857143,1,0,2,2.3486,9.23,-2.78
143.189,2,0,1,1,1,2.422,26.02,-1.92
143.411,0,1,0,0,2,1.6201,0,-1.32
144.173,2,0,1,1,1,2.5454,20.23,-2.28
144.173,2,0,1,1,1,2.5454,20.23,-2.22
144.214,0,0.875,2,0,2,2.1298,26.3,-2.35
144.214,0,0.875,2,0,2,2.1298,26.3,-1.28
144.258,0,1,1,1,1,2.7277,20.23,-2.74
144.258,0,1,1,1,1,2.7293,20.23,-3.01
